num_Cpus	1
temperature_correction	False
xtol_value	1.e-15
ftol_value	1.e-7
gtol_value	1.e-7
epsfcn_min_value	7
maxfev_value	1000
lower_bound	-6
upper_bound	9
num_func_var	8
filesWithFunctions	[C:\\MASSef\\examples\\Manuscript\\fit_PGMd_Keq_test\\input\\absRateFor.txt, C:\\MASSef\\examples\\Manuscript\\fit_PGMd_Keq_test\\input\\absRateRev.txt, C:\\MASSef\\examples\\Manuscript\\fit_PGMd_Keq_test\\input\\relRateFor_3pg.txt, C:\\MASSef\\examples\\Manuscript\\fit_PGMd_Keq_test\\input\\relRateRev_2pg.txt, C:\\MASSef\\examples\\Manuscript\\fit_PGMd_Keq_test\\input\\haldaneRatio_1.txt]
value_row	-1
function_row	-2
data_row_high	-2
