Priority	2cpr5p[c]	3ig3p[c]	co2[c]	anth[c]	param_IGPSr_total	param_pH	param_Temp	FileFlag	Target_Data
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	9.3
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	9.3
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	6.606184386897874
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	6.606184386897874
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	6.606184386897874
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	6.606184386897874
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	6.606184386897874
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	6.606184386897874
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	6.606184386897874
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	6.606184386897874
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	6.606184386897874
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	6.606184386897874
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	6.606184386897874
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	10.810119905832885
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	10.810119905832885
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	10.810119905832885
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	10.810119905832885
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	10.810119905832885
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	10.810119905832885
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	10.810119905832885
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	10.810119905832885
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	10.810119905832885
1	1	0	0	0	1	7.5	37	"/Users/guest/Desktop/internship stuff/MASSef/examples/fit_IGPSr_Final_typeII/input/absRateFor.txt"	10.810119905832885
